SN	Date	HerdID	form_ID	species	AnimalID	Earing	Breed 	Age	Sex	Lactating	Healthy	Sick	Recovered	SampleID 	Sector 	Cell	Village	RBT_sample 	RBTDate	ELISA_sample	ELISADate 	RBT_ELISA
708		AC	KAR007AC	goat	G169	Mukara	Local	Adult	Female	No	Yes			KARG709	Karangazi	Kamate	Bugarama	Negative		Negative	8/11/23	Negative 
709		AC	KAR007AC	goat	G170	Gihuga	Local	Adult	Female	No	Pregnant			KARG710	Karangazi	Kamate	Bugarama	Negative		Negative	8/11/23	Negative 
710		AC	KAR007AC	goat	G171	Kibibi	Local	Adult	Female	No	Pregnant			KARG711	Karangazi	Kamate	Bugarama	Negative		Negative	8/11/23	Negative 
711		AC	KAR007AC	goat	G172	Barasi	Local	Adult	Female	No	Pregnant			KARG712	Karangazi	Kamate	Bugarama	Negative		Negative	8/11/23	Negative 
712		AC	KAR007AC	goat	G173	Gacocero	Local	Adult	Female	No	Yes			KARG713	Karangazi	Kamate	Bugarama	Negative		Negative	8/11/23	Negative 
713	7/20/23	AD	KAR008AD	cattle	C497	1199542	Cross	Adult	Female	Yes	Yes			KARC714	Karangazi	Kamate	Buhongora	Negative		Negative	8/11/23	Negative 
714		AD	KAR008AD	cattle	C498	1521033	Cross	Adult	Female	Yes	Yes			KARC715	Karangazi	Kamate	Buhongora	Negative		Negative	8/11/23	Negative 
715		AD	KAR008AD	cattle	C499	1109822	Cross	Young Adult 	Female	No	Yes			KARC716	Karangazi	Kamate	Buhongora	Negative		Negative	8/11/23	Negative 
716		AD	KAR008AD	cattle	C500	1521005	Cross	Adult	Female	Yes	Yes			KARC717	Karangazi	Kamate	Buhongora	Negative		Negative	8/11/23	Negative 
717		AD	KAR008AD	cattle	C501	Mbabazi	Cross	Adult	Female	No	Yes			KARC718	Karangazi	Kamate	Buhongora	Negative		Negative	8/11/23	Negative 
718		AD	KAR008AD	cattle	C502	1483296	Cross	Adult	Female	Yes	Yes			KARC719	Karangazi	Kamate	Buhongora	Negative		Negative	8/11/23	Negative 
719		AD	KAR008AD	cattle	C503	1521045	Cross	Adult	Female	No	Yes			KARC720	Karangazi	Kamate	Buhongora	Negative		Negative	8/11/23	Negative 
720		AD	KAR008AD	cattle	C504	1499910	Cross	Adult	Female	No	Yes			KARC721	Karangazi	Kamate	Buhongora	Negative		Negative	8/11/23	Negative 
721		AD	KAR008AD	cattle	C505	1521035	Cross	Adult	Female	Yes	Yes			KARC722	Karangazi	Kamate	Buhongora	Negative		Negative	8/11/23	Negative 
722		AD	KAR008AD	cattle	C506	1521051	Cross	Adult	Female	No	Pregnant			KARC723	Karangazi	Kamate	Buhongora	Negative		Negative	8/11/23	Negative 
723		AD	KAR008AD	cattle	C507	1521056	Cross	Young Adult 	Female	No	Yes			KARC724	Karangazi	Kamate	Buhongora	Negative		Negative	8/11/23	Negative 
724		AD	KAR008AD	cattle	C508	Rwasha	Cross	Adult	Male	No	Yes			KARC725	Karangazi	Kamate	Buhongora	Negative		Negative	8/11/23	Negative 
725		AD	KAR008AD	cattle	C509	1521053	Cross	Young Adult 	Female	No	Yes			KARC726	Karangazi	Kamate	Buhongora	Negative		Negative	8/11/23	Negative 
726		AD	KAR008AD	goat	G174	Kigina	Local	Adult	Female	No	Yes			KARG727	Karangazi	Kamate	Buhongora	Negative		Negative	8/11/23	Negative 
727		AD	KAR008AD	goat	G175	Kabbibi	Local	Adult	Female	No	Yes			KARG728	Karangazi	Kamate	Buhongora	Negative		Negative	8/11/23	Negative 
728		AD	KAR008AD	goat	G176	Gihuga	Local	Adult	Female	No	Yes			KARG729	Karangazi	Kamate	Buhongora	Positive		Positive	8/11/23	Positive
729		AD	KAR008AD	goat	G177	Mukara	Local	Adult	Female	No	Yes			KARG730	Karangazi	Kamate	Buhongora	Negative		Negative	8/11/23	Negative 
730		AD	KAR008AD	goat	G178	Musheru	Local	Adult	Female	No	Yes			KARG731	Karangazi	Kamate	Buhongora	Negative		Negative	8/11/23	Negative 
731		AD	KAR008AD	goat	G179	Mvuyekure	Local	Adult	Female	No	Aborted			KARG732	Karangazi	Kamate	Buhongora	Negative		Negative	8/11/23	Negative 
732		AD	KAR008AD	goat	G180	Kasha	Local	Adult	Female	No	Yes			KARG733	Karangazi	Kamate	Buhongora	Negative		Negative	8/11/23	Negative 
733		AD	KAR008AD	goat	G181	Gitobo	Local	Adult	Female	No	Yes			KARG734	Karangazi	Kamate	Buhongora	Negative		Negative	8/11/23	Negative 
734		AD	KAR008AD	goat	G182	Gacumba	Local	Adult	Female	No	Yes			KARG735	Karangazi	Kamate	Buhongora	Negative		Negative	8/11/23	Negative 
735		AD	KAR008AD	goat	G183	Kagondo	Local	Adult	Female	No	Yes			KARG736	Karangazi	Kamate	Buhongora	Negative		Negative	8/11/23	Negative 
736		AD	KAR008AD	goat	G184	Ruhaya	Local	Adult	Male	No	Yes			KARG737	Karangazi	Kamate	Buhongora	Negative		Negative	8/11/23	Negative 
737		AD	KAR008AD	goat	G185	Kigabo	Local	Adult	Male	No	Yes			KARG738	Karangazi	Kamate	Buhongora	Negative		Negative	8/11/23	Negative 
738	7/25/23	AE	KAR009AE	cattle	C510	1731334	Cross	Adult	Female	No	Repeat breeder			KARC739	Karangazi	Kamate	Kamate	Negative	6/11/23	Negative	7/11/23	Negative 
739		AE	KAR009AE	cattle	C511	1731343	Cross	Adult	Female	Yes	Repeat breeder			KARC740	Karangazi	Kamate	Kamate	Negative	6/11/23	Negative	7/11/23	Negative 
740		AE	KAR009AE	cattle	C512	1731210	Cross	Adult	Female	Yes	Repeat breeder and vaccinated			KARC741	Karangazi	Kamate	Kamate	Negative	6/11/23	Negative	7/11/23	Negative 
741		AE	KAR009AE	cattle	C513	1731235	Cross	Adult	Female	Yes	Repeat breeder and abortion 			KARC742	Karangazi	Kamate	Kamate	Negative	6/11/23	Negative	7/11/23	Negative 
742		AE	KAR009AE	cattle	C514	1731220	Cross	Adult	Female	Yes	Repeat breeder			KARC743	Karangazi	Kamate	Kamate	Negative	6/11/23	Negative	7/11/23	Negative 
743		AE	KAR009AE	cattle	C515	1731332	Cross	Adult	Female	No	Yes			KARC744	Karangazi	Kamate	Kamate	Negative	6/11/23	Negative	7/11/23	Negative 
744		AE	KAR009AE	cattle	C516	1731216	Cross	Adult	Female	Yes	Yes			KARC745	Karangazi	Kamate	Kamate	Negative	6/11/23	Negative	7/11/23	Negative 
745		AE	KAR009AE	cattle	C517	1731213	Cross	Adult	Female	Yes	Repeat breeder			KARC746	Karangazi	Kamate	Kamate	Negative	6/11/23	Negative	7/11/23	Negative 
746		AE	KAR009AE	cattle	C518	1731358	Cross	Adult	Female	No	Repeat breeder			KARC747	Karangazi	Kamate	Kamate	Negative	6/11/23	Negative	7/11/23	Negative 
747		AE	KAR009AE	cattle	C519	1731356	Cross	Adult	Male	No	Yes			KARC748	Karangazi	Kamate	Kamate	Negative	6/11/23	Negative	7/11/23	Negative 
748		AE	KAR009AE	cattle	C520	1731224	Cross	Adult	Female	Yes	Repeart breeder			KARC749	Karangazi	Kamate	Kamate	Negative	6/11/23	Negative	7/11/23	Negative 
749		AE	KAR009AE	cattle	C521	Kangabo y'akajwara	Cross	Adult	Female	No	Repeart breeder			KARC750	Karangazi	Kamate	Kamate	Negative	6/11/23	Negative	7/11/23	Negative 
750		AE	KAR009AE	cattle	C522	1731234	Cross	Adult	Female	Yes	Repeart breeder and abortion			KARC751	Karangazi	Kamate	Kamate	Negative	6/11/23	Negative	7/11/23	Negative 
751		AE	KAR009AE	cattle	C523	1731229	Cross	Adult	Female	Yes	Repeart breeder			KARC752	Karangazi	Kamate	Kamate	Negative	6/11/23	Negative	7/11/23	Negative 
752		AE	KAR009AE	cattle	C524	Kakarara	Cross	Adult	Female	No	Repeart breeder			KARC753	Karangazi	Kamate	Kamate	Negative	6/11/23	Negative	7/11/23	Negative 
753		AE	KAR009AE	cattle	C525	1731236	Cross	Adult	Female	Yes	Yes			KARC754	Karangazi	Kamate	Kamate	Negative	6/11/23	Negative	7/11/23	Negative 
754		AE	KAR009AE	cattle	C526	1731214	Cross	Adult	Female	Yes	Repeat breeder			KARC755	Karangazi	Kamate	Kamate	Negative	6/11/23	Negative	7/11/23	Negative 
755		AE	KAR009AE	cattle	C527	1731227	Cross	Adult	Female	Yes	Repeat breeder			KARC756	Karangazi	Kamate	Kamate	Negative	6/11/23	Negative	7/11/23	Negative 
756		AE	KAR009AE	cattle	C528	1731217	Cross	Adult	Female	No	Repeat breeder			KARC757	Karangazi	Kamate	Kamate	Negative	6/11/23	Negative	7/11/23	Negative 
757		AE	KAR009AE	cattle	C529	1731211	Cross	Adult	Female	No	Repeat breeder			KARC758	Karangazi	Kamate	Kamate	Negative	6/11/23	Negative	7/11/23	Negative 
758		AE	KAR009AE	sheep	S044	Ange	Local	Adult	Female	No	Yes			KARS759	Karangazi	Kamate	Kamate	Negative	6/11/23	Negative	7/11/23	Negative 
759		AE	KAR009AE	sheep	S045	Rugeyo	Local	Adult	Male	No	Yes			KARS760	Karangazi	Kamate	Kamate	Negative	6/11/23	Negative	7/11/23	Negative 
760		AE	KAR009AE	sheep	S046	Clarisse	Local	Adult	Female	No	Yes			KARS761	Karangazi	Kamate	Kamate	Negative	6/11/23	Negative	7/11/23	Negative 
761		AE	KAR009AE	sheep	S047	Bwiza	Local	Adult	Female	No	Yes			KARS762	Karangazi	Kamate	Kamate	Negative	6/11/23	Negative	7/11/23	Negative 
762		AE	KAR009AE	sheep	S048	Dusabe	Local	Adult	Female	No	Yes			KARS763	Karangazi	Kamate	Kamate	Negative	6/11/23	Negative	7/11/23	Negative 
763		AE	KAR009AE	sheep	S049	Kivumbi	Local	Adult	Female	No	Yes			KARS764	Karangazi	Kamate	Kamate	Negative	6/11/23	Negative	7/11/23	Negative 
764		AE	KAR009AE	sheep	S050	Messi	Local	Adult	Male	No	Yes			KARS765	Karangazi	Kamate	Kamate	Negative	6/11/23	Negative	7/11/23	Negative 
765		AE	KAR009AE	sheep	S051	Martin	Local	Young Adult 	Male	No	Yes			KARS766	Karangazi	Kamate	Kamate	Negative	6/11/23	Negative	7/11/23	Negative 
766	7/25/23	AF	KAR010AF	cattle	C530	402045	Cross	Adult	Female	No	Repeat breeder and abortion 			KARC767	Karangazi	Ndama	Rwabiharamba	Negative	6/11/23	Negative	7/11/23	Negative 
767		AF	KAR010AF	cattle	C531	66198	Cross	Adult	Female	Yes	Repeat breeder			KARC768	Karangazi	Ndama	Rwabiharamba	Negative	6/11/23	Negative	7/11/23	Negative 
768		AF	KAR010AF	cattle	C532	100904	Cross	Adult	Female	Yes	Repeat breeder			KARC769	Karangazi	Ndama	Rwabiharamba	Negative	6/11/23	Negative	7/11/23	Negative 
769		AF	KAR010AF	cattle	C533	100903	Cross	Adult	Female	No	Repeat breeder			KARC770	Karangazi	Ndama	Rwabiharamba	Negative	6/11/23	Negative	7/11/23	Negative 
770		AF	KAR010AF	cattle	C534	66199	Cross	Adult	Female	No	Pregnant			KARC771	Karangazi	Ndama	Rwabiharamba	Negative	6/11/23	Negative	7/11/23	Negative 
771		AF	KAR010AF	cattle	C535	Kanjera	Cross	Young Adult 	Female	No	Yes			KARC772	Karangazi	Ndama	Rwabiharamba	Negative	6/11/23	Negative	7/11/23	Negative 
772		AF	KAR010AF	cattle	C536	100907	Cross	Adult	Female	Yes	Repeat breeder			KARC773	Karangazi	Ndama	Rwabiharamba	Negative	6/11/23	Negative	7/11/23	Negative 
773		AF	KAR010AF	cattle	C537	100777	Cross	Adult	Female	No	Yes			KARC774	Karangazi	Ndama	Rwabiharamba	Negative	6/11/23	Negative	7/11/23	Negative 
774		AF	KAR010AF	cattle	C538	Rwangabo	Cross	Adult	Male	No	Yes			KARC775	Karangazi	Ndama	Rwabiharamba	Negative	6/11/23	Negative	7/11/23	Negative 
775	7/26/23	AG	KAR011AG	cattle	C539	Kadozi	Cross	Adult	Female	Yes	Yes			KARC776	Karangazi	Ndama	Ndama	Negative	6/11/23	Negative	7/11/23	Negative 
776		AG	KAR011AG	cattle	C540	1199380	Cross	Adult	Female	Yes	Yes			KARC777	Karangazi	Ndama	Ndama	Negative	6/11/23	Negative	7/11/23	Negative 
777		AG	KAR011AG	cattle	C541	1199360	Cross	Adult	Female	Yes	Yes			KARC778	Karangazi	Ndama	Ndama	Negative	6/11/23	Negative	7/11/23	Negative 
778		AG	KAR011AG	cattle	C542	1199403	Cross	Adult	Female	Yes	Yes			KARC779	Karangazi	Ndama	Ndama	Negative	6/11/23	Negative	7/11/23	Negative 
779		AG	KAR011AG	cattle	C543	1199382	Cross	Adult	Female	No	Pregnant			KARC780	Karangazi	Ndama	Ndama	Negative	6/11/23	Negative	7/11/23	Negative 
780		AG	KAR011AG	cattle	C544	1199478	Cross	Adult	Female	No	Repeat breeder and abortion 			KARC781	Karangazi	Ndama	Ndama	Negative	6/11/23	Negative	7/11/23	Negative 
781		AG	KAR011AG	cattle	C545	1163116	Cross	Adult	Female	Yes	Repeat breeder			KARC782	Karangazi	Ndama	Ndama	Positive	6/11/23	Positive	7/11/23	Positive
782		AG	KAR011AG	cattle	C546	1199476	Cross	Adult	Female	No	Repeat breeder			KARC783	Karangazi	Ndama	Ndama	Negative	6/11/23	Negative	7/11/23	Negative 
783		AG	KAR011AG	cattle	C547	1199388	Cross	Adult	Female	Yes	Yes			KARC784	Karangazi	Ndama	Ndama	Negative	6/11/23	Negative	7/11/23	Negative 
784		AG	KAR011AG	cattle	C548	970536	Cross	Adult	Male	No	Yes			KARC785	Karangazi	Ndama	Ndama	Negative	6/11/23	Negative	7/11/23	Negative 
785		AG	KAR011AG	cattle	C549	1609295	Cross	Young Adult 	Male	No	Yes			KARC786	Karangazi	Ndama	Ndama	Negative	6/11/23	Negative	7/11/23	Negative 
786		AG	KAR011AG	goat	G186	Kellen	Local	Adult	Female	Yes	Aborted			KARG787	Karangazi	Ndama	Ndama	Negative	6/11/23	Negative	7/11/23	Negative 
787		AG	KAR011AG	goat	G187	Nyenyeri	Local	Adult	Female	Yes	Aborted			KARG788	Karangazi	Ndama	Ndama	Negative	6/11/23	Negative	7/11/23	Negative 
788		AG	KAR011AG	goat	G188	Mutijima	Local	Adult	Female	No	Pregnant			KARG789	Karangazi	Ndama	Ndama	Negative	6/11/23	Negative	7/11/23	Negative 
789		AG	KAR011AG	goat	G189	Mutoni	Local	Adult	Female	Yes	Yes			KARG790	Karangazi	Ndama	Ndama	Negative	6/11/23	Negative	7/11/23	Negative 
790		AG	KAR011AG	goat	G190	Kanyana	Local	Adult	Female	No	Aborted			KARG791	Karangazi	Ndama	Ndama	Negative	6/11/23	Negative	7/11/23	Negative 
791		AG	KAR011AG	goat	G191	Nziza	Local	Adult	Female	Yes	Aborted			KARG792	Karangazi	Ndama	Ndama	Negative	6/11/23	Negative	7/11/23	Negative 
792		AG	KAR011AG	goat	G192	Gisheru	Local	Adult	Female	Yes	Yes			KARG793	Karangazi	Ndama	Ndama	Negative	6/11/23	Negative	7/11/23	Negative 
793		AG	KAR011AG	goat	G193	Kaguru	Local	Adult	Female	Yes	Yes			KARG794	Karangazi	Ndama	Ndama	Negative	6/11/23	Negative	7/11/23	Negative 
794		AG	KAR011AG	goat	G194	Chris	Local	Adult	Female	Yes	Aborted			KARG795	Karangazi	Ndama	Ndama	Negative	6/11/23	Negative	7/11/23	Negative 
795		AG	KAR011AG	goat	G195	Doreen	Local	Adult	Female	No	Yes			KARG796	Karangazi	Ndama	Ndama	Negative	6/11/23	Negative	7/11/23	Negative 
796		AG	KAR011AG	goat	G196	Mucyo	Local	Adult	Female	No	Pregnant			KARG797	Karangazi	Ndama	Ndama	Negative	6/11/23	Negative	7/11/23	Negative 
797		AG	KAR011AG	goat	G197	Rwema	Local	Adult	Female	Yes	Yes			KARG798	Karangazi	Ndama	Ndama	Negative	6/11/23	Negative	7/11/23	Negative 
798		AG	KAR011AG	goat	G198	Rudasingwa	Local	Adult	Male	No	Yes			KARG799	Karangazi	Ndama	Ndama	Negative	6/11/23	Negative	7/11/23	Negative 
799		AG	KAR011AG	goat	G199	Ketty	Local	Adult	Male	No	Yes			KARG800	Karangazi	Ndama	Ndama	Negative	6/11/23	Negative	7/11/23	Negative 
800		AG	KAR011AG	goat	G200	Kavara	Local	Young Adult 	Female	No	Yes			KARG801	Karangazi	Ndama	Ndama	Negative	6/11/23	Negative	7/11/23	Negative 
801	7/27/23	AH	KAR012AH	cattle	C550	Cyasha cy'amirundi	Cross	Adult	Female	Yes	Repeat breeder			KARC802	Karangazi	Kamate	Byimana	Negative	6/11/23	Negative	7/11/23	Negative 
802		AH	KAR012AH	cattle	C551	Kagacweka	Cross	Young Adult 	Female	No	Repeat breeder			KARC803	Karangazi	Kamate	Byimana	Negative	6/11/23	Negative	7/11/23	Negative 
803		AH	KAR012AH	cattle	C552	shallon 	Cross	Adult	Female	Yes	Repeat breeder			KARC804	Karangazi	Kamate	Byimana	Negative	6/11/23	Negative	7/11/23	Negative 
804		AH	KAR012AH	cattle	C553	57165	Cross	Adult	Female	No	Repeat breeder			KARC805	Karangazi	Kamate	Byimana	Negative	6/11/23	Negative	7/11/23	Negative 
805		AH	KAR012AH	cattle	C554	Mpuga Jersey	Cross	Adult	Female	No	Still birth			KARC806	Karangazi	Kamate	Byimana	Negative	6/11/23	Negative	7/11/23	Negative 
806		AH	KAR012AH	cattle	C555	Mirundi	Cross	Adult	Female	Yes	Yes			KARC807	Karangazi	Kamate	Byimana	Negative	6/11/23	Negative	7/11/23	Negative 
807		AH	KAR012AH	cattle	C556	Mucyo	Cross	Adult	Female	No	Pregnant			KARC808	Karangazi	Kamate	Byimana	Negative	6/11/23	Negative	7/11/23	Negative 
808		AH	KAR012AH	cattle	C557	Gahinda	Exotic	Young Adult 	Female	No	Aborted			KARC809	Karangazi	Kamate	Byimana	Negative	6/11/23	Negative	7/11/23	Negative 
809		AH	KAR012AH	cattle	C558	Mubyeyi	Exotic	Adult	Female	Yes	Yes			KARC810	Karangazi	Kamate	Byimana	Negative	6/11/23	Negative	7/11/23	Negative 
810		AH	KAR012AH	cattle	C559	44383	Cross	Adult	Female	Yes	Yes			KARC811	Karangazi	Kamate	Byimana	Negative	6/11/23	Negative	7/11/23	Negative 
811		AH	KAR012AH	cattle	C560	Mpuga	Cross	Adult	Female	Yes	Repeat breeder			KARC812	Karangazi	Kamate	Byimana	Negative	6/11/23	Negative	7/11/23	Negative 
812		AH	KAR012AH	cattle	C561	Indushabandi	Cross	Adult	Female	Yes	Repeat breeder			KARC813	Karangazi	Kamate	Byimana	Negative	6/11/23	Negative	7/11/23	Negative 
813		AH	KAR012AH	cattle	C562	Kiremba	Cross	Adult	Female	Yes	Repeat breeder			KARC814	Karangazi	Kamate	Byimana	Negative	6/11/23	Negative	7/11/23	Negative 
814		AH	KAR012AH	cattle	C563	Mbazi	Cross	Adult	Female	Yes	Repeat breeder			KARC815	Karangazi	Kamate	Byimana	Negative	6/11/23	Negative	7/11/23	Negative 
815		AH	KAR012AH	cattle	C564	Rutebezambuga	Cross	Adult	Female	Yes	Repeat breeder			KARC816	Karangazi	Kamate	Byimana	Negative	6/11/23	Negative	7/11/23	Negative 
816		AH	KAR012AH	cattle	C565	Ngabo y'akigali	Cross	Adult	Female	Yes	Repeat breeder			KARC817	Karangazi	Kamate	Byimana	Negative	6/11/23	Negative	7/11/23	Negative 
817		AH	KAR012AH	cattle	C566	Cyasha cy'ashiri	Cross	Adult	Female	Yes	Repeat breeder			KARC818	Karangazi	Kamate	Byimana	Negative	6/11/23	Negative	7/11/23	Negative 
818		AH	KAR012AH	cattle	C567	Runyete	Cross	Adult	Female	Yes	Repeat breeder			KARC819	Karangazi	Kamate	Byimana	Negative	6/11/23	Negative	7/11/23	Negative 
819		AH	KAR012AH	cattle	C568	Gacunda	Cross	Adult	Female	No	Repeat breeder			KARC820	Karangazi	Kamate	Byimana	Negative	6/11/23	Negative	7/11/23	Negative 
820		AH	KAR012AH	cattle	C569	Inkumburwa	Cross	Adult	Female	Yes	Repeat breeder			KARC821	Karangazi	Kamate	Byimana	Negative	6/11/23	Negative	7/11/23	Negative 
821		AH	KAR012AH	cattle	C570	Ngabo y'a flaro	Cross	Adult	Female	Yes	Repeat breeder			KARC822	Karangazi	Kamate	Byimana	Negative	6/11/23	Negative	7/11/23	Negative 
822		AH	KAR012AH	goat	G201	Gitobo	Exotic	Adult	Female	No	Aborted			KARG823	Karangazi	Kamate	Byimana	Negative	6/11/23	Negative	7/11/23	Negative 
823		AH	KAR012AH	goat	G202	Ihembe	Exotic	Adult	Female	No	Aborted			KARG824	Karangazi	Kamate	Byimana	Negative	6/11/23	Negative	7/11/23	Negative 
824		AH	KAR012AH	goat	G203	Gihuga	Exotic	Adult	Female	No	Yes			KARG825	Karangazi	Kamate	Byimana	Negative	6/11/23	Negative	7/11/23	Negative 
825		AH	KAR012AH	goat	G204	Ruhaya	Exotic	Adult	Male	No	Yes			KARG826	Karangazi	Kamate	Byimana	Negative	6/11/23	Positive	7/11/23	
826		AH	KAR012AH	goat	G205	Nkungu	Exotic	Adult	Female	No	Yes			KARG827	Karangazi	Kamate	Byimana	Negative	6/11/23	Negative	7/11/23	Negative 
827		AH	KAR012AH	goat	G206	Kabarasi	Exotic	Adult	Female	No	Yes			KARG828	Karangazi	Kamate	Byimana	Negative	6/11/23	Negative	7/11/23	Negative 
828	7/28/23	AI	RWE010AI	cattle	C571	1497960	Cross	Adult	Female	Yes	Yes			RWEC829	Rwempasha	Kabare	Kabare	Negative	6/11/23	Positive	7/11/23	
829		AI	RWE010AI	cattle	C572	1497958	Cross	Adult	Female	Yes	Yes			RWEC830	Rwempasha	Kabare	Kabare	Negative	6/11/23	Positive	7/11/23	
830		AI	RWE010AI	cattle	C573	1497959	Cross	Adult	Female	Yes	Yes			RWEC831	Rwempasha	Kabare	Kabare	Negative	6/11/23	Negative	7/11/23	Negative 
831		AI	RWE010AI	cattle	C574	1497961	Cross	Adult	Female	Yes	Yes			RWEC832	Rwempasha	Kabare	Kabare	Negative	6/11/23	Negative	7/11/23	Negative 
832		AI	RWE010AI	cattle	C575	1497969	Cross	Adult	Female	Yes	Repeat breeder			RWEC833	Rwempasha	Kabare	Kabare	Negative	6/11/23	Negative	7/11/23	Negative 
833		AI	RWE010AI	cattle	C576	1497965	Cross	Adult	Female	No	Repeat breeder			RWEC834	Rwempasha	Kabare	Kabare	Negative	6/11/23	Negative	7/11/23	Negative 
834		AI	RWE010AI	cattle	C577	1497970	Cross	Adult	Female	Yes	Yes			RWEC835	Rwempasha	Kabare	Kabare	Negative	6/11/23	Negative	7/11/23	Negative 
835		AI	RWE010AI	cattle	C578	1497966	Cross	Adult	Female	Yes	Yes			RWEC836	Rwempasha	Kabare	Kabare	Negative	6/11/23	Negative	7/11/23	Negative 
836		AI	RWE010AI	cattle	C579	1497971	Cross	Adult	Female	Yes	Yes			RWEC837	Rwempasha	Kabare	Kabare	Negative	6/11/23	Negative	7/11/23	Negative 
837		AI	RWE010AI	cattle	C580	1497963	Cross	Adult	Female	Yes	Yes			RWEC838	Rwempasha	Kabare	Kabare	Negative	6/11/23	Negative	7/11/23	Negative 
838		AI	RWE010AI	cattle	C581	1838933	Cross	Adult	Male	No	Yes			RWEC839	Rwempasha	Kabare	Kabare	Negative	6/11/23	Negative	7/11/23	Negative 
839		AI	RWE010AI	cattle	C582	1497973	Cross	Adult	Female	Yes	Yes			RWEC840	Rwempasha	Kabare	Kabare	Negative	6/11/23	Negative	7/11/23	Negative 
840		AI	RWE010AI	cattle	C583	1497962	Cross	Adult	Female	No	Yes			RWEC841	Rwempasha	Kabare	Kabare	Negative	6/11/23	Negative	7/11/23	Negative 
841		AI	RWE010AI	cattle	C584	Kakiremba	Cross	Young Adult 	Female	No	Yes			RWEC842	Rwempasha	Kabare	Kabare	Negative	6/11/23	Negative	7/11/23	Negative 
842		AI	RWE010AI	cattle	C585	Kayenji	Cross	Young Adult 	Female	No	Yes			RWEC843	Rwempasha	Kabare	Kabare	Negative	6/11/23	Negative	7/11/23	Negative 
843		AI	RWE010AI	cattle	C586	Kozi	Cross	Young Adult 	Female	No	Yes			RWEC844	Rwempasha	Kabare	Kabare	Negative	6/11/23	Negative	7/11/23	Negative 
844		AI	RWE010AI	cattle	C587	Kagabo	Cross	Young Adult 	Female	No	Yes			RWEC845	Rwempasha	Kabare	Kabare	Negative	6/11/23	Negative	7/11/23	Negative 
845		AI	RWE010AI	sheep	S052	Kibara	Local	Adult	Female	No	Yes			RWES846	Rwempasha	Kabare	Kabare	Negative	6/11/23	Negative	7/11/23	Negative 
846		AI	RWE010AI	sheep	S053	Ntalongo	Local	Adult	Female	No	Yes			RWES847	Rwempasha	Kabare	Kabare	Negative	6/11/23	Positive	7/11/23	
847		AI	RWE010AI	sheep	S054	Rugeyo	Local	Adult	Male	No	Yes			RWES848	Rwempasha	Kabare	Kabare	Negative	6/11/23	Negative	7/11/23	Negative 
848		AI	RWE010AI	sheep	S055	Gasekurume	Local	Adult	Female	No	Yes			RWES849	Rwempasha	Kabare	Kabare	Negative	6/11/23	Negative	7/11/23	Negative 
849		AI	RWE010AI	sheep	S056	Gitare	Local	Adult	Male	No	Yes			RWES850	Rwempasha	Kabare	Kabare	Negative	6/11/23	Negative	7/11/23	Negative 
850		AI	RWE010AI	sheep	S057	Gihuga	Local	Adult	Female	No	Yes			RWES851	Rwempasha	Kabare	Kabare	Negative	6/11/23	Negative	7/11/23	Negative 
851		AI	RWE010AI	sheep	S058	Mweru	Local	Adult	Female	No	Yes			RWES852	Rwempasha	Kabare	Kabare	Negative	6/11/23	Negative	7/11/23	Negative 
852		AI	RWE010AI	sheep	S059	Intama Angel	Local	Adult	Female	No	Yes			RWES853	Rwempasha	Kabare	Kabare	Negative	6/11/23	Negative	7/11/23	Negative 
853		AI	RWE010AI	sheep	S060	Ndege	Local	Adult	Female	No	Yes			RWES854	Rwempasha	Kabare	Kabare	Negative	6/11/23	Negative	7/11/23	Negative 
854		AI	RWE010AI	sheep	S061	Ndege 2	Local	Adult	Female	No	Yes			RWES855	Rwempasha	Kabare	Kabare	Negative	6/11/23	Negative	7/11/23	Negative 
855		AI	RWE010AI	sheep	S062	Pamella	Local	Adult	Female	No	Yes			RWES856	Rwempasha	Kabare	Kabare	Negative	6/11/23	Negative	7/11/23	Negative 
856	8/1/23	AJ	KAR013AJ	cattle	C588	1806614	Cross	Adult	Female	Yes	Repeat breeder			KARC857	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
857		AJ	KAR013AJ	cattle	C589	Ngabo	Cross	Adult	Female	No	Pregnant			KARC858	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
858		AJ	KAR013AJ	cattle	C590	1806649	Cross	Adult	Female	Yes	Repeat breeder			KARC859	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
859		AJ	KAR013AJ	cattle	C591	1555901	Cross	Adult	Female	Yes	Repeat breeder			KARC860	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
860		AJ	KAR013AJ	cattle	C592	1806625	Cross	Adult	Female	Yes	Repeat breeder			KARC861	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
861		AJ	KAR013AJ	cattle	C593	1639784	Cross	Adult	Female	Yes	Yes			KARC862	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
862		AJ	KAR013AJ	cattle	C594	1806620	Cross	Adult	Female	Yes	Aborted+Repeat breeder			KARC863	Karangazi	Kamate	Muzehe	Negative	6/11/23	Positive	7/11/23	
